"","ac5402de1ddf427ab8d2b0a8a0a44f19","2a2947125c677c6e27898ad4e9b9dca7","0cc2420a6a4698f8bf664d50b17d26b4","6a17479edbe461431433bddb084f731e","010f0ac2691bc0be12d0633d4b5d2cc4","058ed3f9b3464dcd2af7145b3b9c9026","5e151aa3f416a2fa6f0a1d8985282783","a66dd8d31584930c2b0f811f572dddcf","de61860db8d93da85692dffb5cf32ab9","5b6a30b5a900999d91448bc79c5e14d4","8937656c16c20701c107e715bad86732","25def15fb42bed6855ede4893d27a21d","f7686a74ca2d3729eb66305e8a26309b","d73c014c9a033812619aa44e9cae934f","eea6b86c0c75e740670ccc50613b1b23","0f0a1f8c92368be6e8d3145bd4e94cd1","180b74e94caf35fac5e1f0f4b7ad9d9f","ed1528f4822674c9e1da64b84c778e9f","0f92fcc184a951ff8b0914467ad2f8f9","60c57911662a9159dfdd0fc05d975a55","148c7eb0139bbc1b8c87dd31464742e4","ad7bc2bb6e1ec90a9bc3c8949bce80d6","d56536a97c18adccf18eb08958d93345","a9387e76477da8688775569cf540191b","f95daccc7c507e37800de5207028b992","1ad289cd8f44e109fd95de0382c5b252","5ff715b26c5f3632a12da2d4dbd758bd","e2c3ff4f647112723741aa72087f1bfa","b45c9784d674879d68d54362419a1d70","446ec4331e4894b14be920825fc962a5","237135dc8b20f922cabee934f7d410a1","0eb15dc6ca644533da15764998436274","370829fece3190f1a8efccf50b7d0921","b75d05e361f46e33b39ef21d05334744","ad52a0f6646c574417ce0b13b84acfa9","a650f349bbdffb95b3624519d1ba72b8","86deb5cf8d6f29d383136e0d09863b69","8720f9ecd2331ce68e2896df1bf2d977","dafe809740d0545dc25c6939a84a1820","8ce931b0c99ad5ed648c25483c1ca492","32382a0f5831da5faee464d011b5616c","539ca948741b9a713eb781d4281b23fc","74923f4bbde849e27fc4eda25d757e2a","1ba09da532a0f9985b3caf72a47b42e3","2403a466dd6d1e4f551d80394c2aa994","2480f3aa1e7784b461d9b5b83a6bfc81","9f74473636e6874853d88dfcbcecff49","1986030e3c5cd5df6d869054bc96e536","124c75409b4ecd0bf23a84e28593567d","94b000e59b7ac160b0416c9ab45ff0bf","10a9a0887483597b71cffa08dcda40de","07bfddb8e62098a85afc8fd68ebc308c","8e6e925baa81466352ff781a289e188d","d0f1985c2b919dcbd0bf4664c844a900","914d665720e41337748116b656be6270","e8cff5dd9314935749206c1d83214d77","def8acc0fc88cc9a9cf110370ecc2c37","4c1afcf47b47fc2850fae19210e27117","48e537eafb87fc4de5d87b022bc3fa66","992072d045462445dc239b35300af2cc","5d62137a2d05df0be8d6b7e163a3ef08","1634bc38311d3c868d1077602dc439f2","f1da0f084f3e5b7957d11d01abe7013d","c99c4c951e6f4745973043285ccf486b","ee2e7e1ec3775388a6a1000c5de4c483","82b92d7bdaa0d4ed90f869f14acf5088","59c4a678634e50b3fda861310820aadd","ad8991870b8bdd236d97d01487ddadc6","d0c34b21c7c96271a1bc5f7fe82df3a0","a06f5fd3db9f925457a537135871f616","54f25a2b09b2c1a1517c8b5472eca178","fdcd6808ef8269653d25dce4a55a025d","d43ad42f3b1625379a2429c10f419eda","2ea79eaaa0b23b2a7d2cf470cbaf72ea","b3fef1e26b7b6ac20847ede4da68547a","7db357a4adb452de8504d8ca1ddb3f99","6694ca246e895a4f1d7e1d077cc27f5d","145ebc1f8ab3b2896eb631008973c0b4","47ad35356a9bfec68416d32e4f039021","7e54570d21f03dfcefff07151a8c2d54","053c4d5b8717b60387f777efae437b40","2c61ba77eb8ea89ea85728bd0022ac09","a36d070ba91e6c48d0c79036200d0b20","ab2ef9bffd8e25c75290c0a2f6a8f85c","f4909ad74d5b44aa7c3694798c21ea87","2594fcf48955bec7b61a5ce4aefa3868","1141f30eddb626a3a1151a19445eadfe","2be34a58b64107daf7b5426302feeff7","ce33f26f3bd4784cdb63910753fa0792","30fc8af207d17abc37394fbf3d1793f7","a544abd909afc727c4418e4e19eed417","e644522cf6d7222c9da7f9ecf614cd89","0681937d15d01090c93f3fb99998d90c","9065d9fc5a50712e80be6f5dbef043d4","e4d915abc009819b3d89468b935271de","6240207fd3edd24bf0799b5f427423a0","df3f8cdac76c62baa98469c33b82d8df","31fe7997ddfef193110db377890f9520","596c1c5efe777a8d8aafbca19fe37e1d","f710c0927080e422094a96ffe13b389c","ecc877a3410d54ea784131356fe5ea73","3ccd9b32a9a7dc4a75ab7d88f35665df","fa71c8409cbcaad5dd98b8d80a46b07b","bf8144aac6a30e6695ad6bf8f49131ab","387e36ab394fd347fd94d8762016779f","984ef97167ec7b42d7a3650716d6a2ed","86417ff63eaf8a9473179df540422a81","6207087a2aeb57241cefe393e011bd02","4bec204a5986223b16143ad5db1c8433","a2de505abb56c8744ac2e8123c2d1bc1","5a0df24ab3d9c2d78a043cd477a54b4f","c8fce068920feb387167d44c01689295","9886d89016c5dfd08cdb3aed3c966cb6","64acd1cc6ba26f74372bdccbb9b8065c","a4dbf71f32a016e120fe6cf253dfa6c0","dd55670a7993a5317059df033d09d63f","bace8d5431c11e75808b28a88981721d","e66860dbaac1010e5b69f9780d84b3b2","86c98ea884e894ba5799c32cea3b7765","d28f5cab517f832750bbf62798e58dc3","0590c29091ff2b3affd966ed57773407","bd8cf9d4f4744a93802336d81b60966e","d9d0120f569d8e15590c6486f4ffed36","f283cd6d309acf7626b1fbc0079d275d","aadf067e83ca643294c80e37a0283592","33902c26956acf7efa69413cfea6326e","c22da6c79af27ac1f4eabbaa551ef052","957a16edeead7722188be53d05fbf001","354b3affe7706d4e6ddfb5b0511f5441","075614efc7d3dd61cd64a4e5f17078ae","4f3e4d6a8a9cb34f1cc87190e7090474","252d0fd6601d9776290e142e5bfd744b","856da3a5c943d7dccc1c1f2c0f15a981","84a09f7554a54295e2fe70e6d08b95a8","fff0f27911c727476a833d9e5a35dfeb","0cdc26df2e337ea78808c32c8f52c94b","53bc90e1c93440a53d0bf5ae8b456b1a","2ba1bc26e9373f83349a875dd4c0ad3a","1e6fb78e2244ca940f9fc31d88d711dc","6b9a2b83cbba29ae21ab29588bac0a5b","1d5ea3cb8686552de9dd9b1284a89dc9","12880b7b3ea5ac0628d143e0f13638b5","50569633cbb1654d8b28051a9449f45b","3794c39f5fa4a37b52d248bfb3e95abf","1731e2c1b8ee177b7fa7eecafb40898b","43c828faa858052ace54389bdcb47be5","bc5d102ce5ca031bd57231ea57206612","c3936710486e2affbcd6f59d36c68e2f","8c991b2f2830155b0481dd233b3af040","606163fa1f2a48591ccc82dde467cd7e","7ab381e80f5c97ad9f7ee107c0866487","c122dce029d0662e2c1ff1e3cfb2661e","656326d89791c753746563843909ebf2"
"10249.C044.03SS",4139,0,0,0,0,0,0,304,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1723,0,0,0,7,0,0,0,27,0,0,0,138,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C033.09SS",3337,0,0,0,21,0,0,3088,39,0,0,0,0,0,30,0,0,0,170,0,0,0,0,0,2,0,0,805,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C052.09SS",2,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,4426,0,0,0,0,0,705,0,0,0,0,31,0,0,2395,0,0,0,0,0,0,440,0,0,0,0,61,530,182,0,0,1524,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,28,27,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"10249.C007.02SS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,2662,404,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C045.03SS",5333,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,350,0,0,0,0,0,1286,0,0,0,0,2,0,6,152,0,0,0,410,0,0,0,0,0,0,0,110,0,9,0,0,45,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C044.02SS",3938,0,0,0,2,0,0,461,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4199,0,0,0,0,0,0,0,29,0,0,0,308,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C036.04SS",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,295,0,1345,0,2,504,0,0,4,0,0,0,11,0,0,258,0,0,0,0,0,0,9,0,250,576,189,0,0,5420,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C007.18SS",6793,0,0,941,2585,0,0,12262,0,0,2385,58,197,0,155,0,0,2337,419,0,0,967,0,0,2,154,0,2424,117,0,10,0,322,5,8,9,0,414,2,221,0,28,45,0,0,4,0,17,234,0,3,8,1159,0,0,0,0,0,0,399,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C005.05SS",8,0,0,0,1872,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2625,0,15,0,23,0,6283,0,0,0,0,3150,0,0,59,0,0,0,0,0,0,0,0,0,17,0,71,1360,72,0,0,4019,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C032.09SS",9728,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,55,0,1195,0,0,0,6,0,0,0,59,0,0,0,43,0,0,0,0,0,0,0,0,169,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"10249.C009.10SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1983,0,0,0,0,0,124,7,0,0,20,0,0,0,2332,0,0,0,456,0,0,0,0,0,0,21,569,390,0,0,0,1696,3,12,3,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C056.02SS",155,0,18,3,63,0,0,3,0,0,19,10,17,0,16,0,0,2,0,2,0,1435,9,5,0,832,0,51,3,0,2,0,2,0,15,25,0,0,0,0,0,0,155,30,0,4,0,0,8,4,0,0,1825,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,5,0,0,0,2,0,0,0,4,8,0,0,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,606,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"10249.C008.13SS",1774,0,8,146,3504,0,0,18,7,2,1069,0,193,0,54,0,0,820,4,129,0,43,0,0,0,57,0,842,26,0,0,0,0,0,15,52,0,71,0,18,0,0,0,0,0,0,0,368,14,0,0,0,74,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C034.13SS",25148,0,0,257,0,0,0,0,0,0,0,0,528,0,6,0,0,2,0,0,0,3209,0,0,0,1955,0,128,927,0,0,0,287,0,4,30,0,0,48,156,0,19,71,0,0,4,5,189,1513,35,472,0,49,138,6,0,0,2524,0,34,9,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C043.05SS",4832,0,0,0,0,0,0,0,0,0,0,0,15,0,54,0,0,0,0,0,0,970,0,0,0,18,0,5004,135,0,0,0,219,0,77,2,0,0,0,383,0,2,2,2,0,0,0,0,320,3,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C025.14SS",8,0,0,0,2,0,0,0,0,0,2,2,7,0,157,0,0,0,0,0,0,3568,0,0,0,630,0,19,428,0,0,3,201,0,19,16,0,0,0,3716,0,0,377,0,0,0,0,0,435,110,0,139,60,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C010.01SS",3821,0,4,0,0,0,0,0,170,0,0,2,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,2004,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C032.11SS",7597,0,0,444,0,0,0,399,0,0,7,0,0,0,42,0,0,0,34,0,0,0,0,0,0,9,0,2096,0,0,0,0,5,10,9,49,0,54,0,461,0,0,0,0,0,4,0,0,1371,13,0,0,55,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C010.08SS",2824,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,149,14,0,0,51,0,3562,0,0,0,0,0,1385,0,566,0,0,0,0,0,0,0,0,0,0,0,0,53,209,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,11,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C020.05SS",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,2,0,0,335,0,0,0,0,0,0,0,85,0,0,0,0,0,521,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C004.15SS",5383,0,97,0,0,0,0,630,0,0,0,0,0,0,0,0,77,0,131,0,0,271,2,0,0,66,0,1493,0,0,0,0,0,1020,0,335,0,30,0,2,0,0,148,0,0,0,0,12,982,0,0,0,36,0,0,0,0,0,0,0,24,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C018.10SS",5438,0,86,258,2,0,0,487,0,0,217,98,110,0,35,0,0,567,183,705,0,297,0,0,0,592,0,2631,44,0,0,0,345,0,49,5,0,145,0,93,11,12,11,0,0,0,0,16,12,2,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C034.15SS",9403,0,0,211,0,0,0,0,0,0,0,473,17,0,0,0,0,0,0,0,0,1107,0,0,0,476,0,507,172,0,0,0,162,0,34,6,0,0,35,479,0,7,98,0,0,2,0,74,573,0,5,0,156,0,0,0,0,1042,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C009.09SS",2499,0,3,1397,0,0,0,2,0,0,0,0,0,0,1397,0,0,0,0,0,0,851,0,0,0,0,0,5149,0,0,0,5,14,256,0,1021,0,0,0,2,0,0,0,0,0,0,2,285,1560,3,0,2,1626,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C001.04SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0,163,1353,269,0,0,3905,41,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C044.16SS",6182,0,159,337,1345,0,0,599,62,0,683,228,105,0,763,0,0,796,0,181,0,408,0,0,0,120,0,1202,86,0,10,0,132,0,199,44,0,0,8,78,861,0,0,0,0,3,15,0,5,3,0,0,113,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C022.07SS",1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,2887,368,0,0,0,66,0,9,117,0,0,0,0,0,0,0,0,0,17,0,0,37,0,0,0,46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C053.07SS",0,0,0,0,3,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,9481,11,0,0,403,0,339,0,0,0,7,69,6,0,60,0,1007,0,1969,0,0,61,17,0,0,0,39,2180,0,0,0,2293,232,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,0,0,0,0,4,0,5,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C002.06SS",8351,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,664,0,0,0,455,0,2684,0,0,0,2,45,49,0,5,0,0,0,3,0,0,0,0,0,3,0,0,456,11,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C031.20SS",4347,0,308,40,656,0,0,340,47,0,700,61,126,0,118,0,11,1320,34,0,0,83,20,0,0,333,0,123,23,0,0,0,112,0,26,52,0,0,0,49,0,0,11,0,0,0,0,20,20,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C025.06SS",2,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,0,0,0,0,0,12,0,0,0,52,0,0,0,1432,0,0,0,0,0,0,0,13,0,0,0,0,3202,60,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C020.09SS",10137,0,0,0,0,0,0,279,141,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,6952,0,0,0,3,0,0,0,672,0,0,0,2,0,0,0,0,0,10,0,0,1518,262,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10249.C010.04SS",6655,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,7167,0,0,0,5,0,0,0,399,0,0,0,2,0,0,0,0,0,0,0,3,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
